,username,created_at,truncated,description,following,followers,totaltweets,retweetcount,text,hashtags,user_mention,retweetScreenNames
0,kittyhundal,2022-09-22 03:20:48+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,0,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/8vDKCELK5d","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
1,kittyhundal,2022-09-22 03:19:22+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,0,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/Ohjviwo6uK","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
2,BellaLea88,2022-09-22 01:21:04+00:00,False,"I like a lot - Hello there, yes you reading this, you are special. Don't you ever fade!",754,726,7124,11645,"Two weeks before the pandemic started, the government (NIAID) and MODERNA signed a confidential agreement regarding COVID VACCINES, how did they know!!??

Anthony Fauci has to answer some questions!
#vaccine #vaccineinjury #vaccinedeaths https://t.co/v8MAqN5Qsx",[],['bambkb'],bambkb
3,HPot8888,2022-09-22 00:18:47+00:00,False,Rebel,467,335,10355,1,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/rILT1dY5hh","[{'text': 'cdnpoli', 'indices': [106, 114]}, {'text': 'onpoli', 'indices': [115, 122]}, {'text': 'bcpoli', 'indices': [123, 130]}, {'text': 'qcpoli', 'indices': [131, 138]}]","['kittyhundal', 'INTERPOL_HQ']",kittyhundal
4,HRMN8RHerm,2022-09-21 23:35:54+00:00,False,"Proud Patriot, Conservative, Christian Catholic, Defender of the Declaration of Independence, The Constitution and The United States of America.",396,414,8770,233,"Attorney lawyer for military, Todd Callender: 

“according to DMED, military database, all cause mortality spiked 1100% in just 10 months, the year the vaccine was introduced”

That’s just the starting statement

These facts are disturbing
#vaccine #VaccineDeath #Vaccineinjury https://t.co/3cP63Kzcli",[],['bambkb'],bambkb
5,shortfinal32,2022-09-21 23:31:09+00:00,False,"An advocate for equality of opportunity, freedom of thought and speech, and a Canadian patriot",110,75,3063,0,"@rpoconnor ...how did it go for those who recommended Thalidomide?
#cdnpoli
#NoVaccineMandates
#CommunistCanada","[{'text': 'cdnpoli', 'indices': [67, 75]}, {'text': 'NoVaccineMandates', 'indices': [76, 94]}, {'text': 'CommunistCanada', 'indices': [95, 111]}]",['rpoconnor'],
6,kittyhundal,2022-09-21 23:29:57+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,0,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/85pQ3RNlaM","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
7,kittyhundal,2022-09-21 23:27:12+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,1,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/rILT1dY5hh","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
8,kittyhundal,2022-09-21 23:26:30+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,0,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/WzLluioYPA","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
9,ChoicesMatter_,2022-09-21 23:00:00+00:00,False,Forceful Medical/vaxx is not the way to a healthy lifestyle! Health cannot be injected. Enough is enough! https://t.co/kXr2lapf6J,249,206,12250,0,"#vaccinedeath is real
#vaccineinjury is real
Young/healthy people falling over dead (post 💉 or otherwise) is NOT NORMAL!
Young/healthy people dying in their sleep (post 💉 or otherwise) is NOT NORMAL!
#StopTheShot
#DoNotComply
#stoptheshots
#Informedconsent is a right!","[{'text': 'vaccinedeath', 'indices': [0, 13]}, {'text': 'vaccineinjury', 'indices': [22, 36]}, {'text': 'StopTheShot', 'indices': [200, 212]}, {'text': 'DoNotComply', 'indices': [213, 225]}, {'text': 'stoptheshots', 'indices': [226, 239]}, {'text': 'Informedconsent', 'indices': [240, 256]}]",[],
